Region	Month of Period End	Median Sale Price	Median Sale Price MoM 	Median Sale Price YoY 	Homes Sold	Homes Sold MoM 	Homes Sold YoY 	New Listings	New Listings MoM 	New Listings YoY 	Inventory	Inventory MoM 	 Inventory YoY 	Days on Market	Days on Market MoM	Days on Market YoY	Average Sale To List	Average Sale To List MoM 	Average Sale To List YoY 
Los Angeles, CA metro area	April 2017	$560K	0.9%	5.7%	5,947	-10.0%	-7.7%	8,418	-6.6%	-5.3%	17,165	5.0%	2.1%	39	-4	2	100.1%	0.6%	0.5%
Los Angeles, CA metro area	May 2017	$577K	3.0%	6.9%	7,111	19.6%	5.6%	9,160	8.8%	4.4%	17,643	2.8%	2.1%	37	-2	0	100.1%	0.0%	0.4%
Los Angeles, CA metro area	June 2017	$585K	1.4%	8.3%	8,020	12.8%	7.0%	9,008	-1.7%	-4.7%	17,998	2.0%	-0.7%	37	0	1	100.2%	0.1%	0.4%
Los Angeles, CA metro area	July 2017	$589K	0.7%	9.1%	6,491	-19.1%	-3.8%	8,419	-6.5%	-8.0%	18,464	2.6%	-4.6%	39	2	3	100.2%	0.0%	0.5%
Los Angeles, CA metro area	August 2017	$590K	0.2%	8.3%	7,564	16.5%	5.7%	8,189	-2.7%	-11.9%	17,805	-3.6%	-10.5%	40	1	2	100.1%	-0.2%	0.4%
Los Angeles, CA metro area	September 2017	$589K	-0.2%	10.1%	6,599	-12.8%	-2.7%	7,421	-9.4%	-16.2%	17,525	-1.6%	-13.3%	42	2	1	99.9%	-0.2%	0.4%
Los Angeles, CA metro area	October 2017	$576K	-2.2%	6.7%	6,340	-3.9%	2.1%	7,005	-5.6%	-3.5%	16,657	-5.0%	-14.6%	43	1	1	99.8%	-0.1%	0.5%
Los Angeles, CA metro area	November 2017	$588K	2.1%	7.9%	5,984	-5.6%	-1.0%	5,630	-19.6%	-2.1%	14,962	-10.2%	-16.4%	42	-1	-2	100.0%	0.2%	0.7%
Los Angeles, CA metro area	December 2017	$585K	-0.5%	9.3%	5,980	-0.1%	-5.6%	3,604	-36.0%	-6.8%	12,219	-18.3%	-17.5%	46	4	-4	99.7%	-0.2%	0.7%
Los Angeles, CA metro area	January 2018	$575K	-1.7%	6.5%	4,481	-25.1%	-6.8%	7,005	94.4%	5.5%	13,403	9.7%	-12.1%	48	2	-6	99.5%	-0.2%	0.6%
Los Angeles, CA metro area	February 2018	$595K	3.5%	10.2%	4,353	-2.9%	-4.1%	7,392	5.5%	11.7%	14,646	9.3%	-5.5%	42	-6	-13	99.9%	0.4%	0.8%
Los Angeles, CA metro area	March 2018	$601K	1.0%	8.3%	6,386	46.7%	-3.4%	8,072	9.2%	-10.4%	15,094	3.1%	-7.6%	37	-5	-6	100.3%	0.4%	0.8%
Los Angeles, CA metro area	April 2018	$610K	1.5%	8.9%	6,044	-5.4%	1.6%	8,712	7.9%	3.5%	16,344	8.3%	-4.8%	36	-1	-3	100.4%	0.1%	0.3%
Los Angeles, CA metro area	May 2018	$630K	3.3%	9.2%	6,725	11.3%	-5.4%	8,973	3.0%	-2.0%	17,262	5.6%	-2.2%	36	0	-1	100.4%	0.0%	0.3%
Los Angeles, CA metro area	June 2018	$631K	0.2%	7.9%	7,049	4.8%	-12.1%	8,879	-1.0%	-1.4%	18,144	5.1%	0.8%	37	1	0	100.3%	-0.1%	0.1%
Los Angeles, CA metro area	July 2018	$627K	-0.7%	6.4%	6,540	-7.2%	0.8%	8,457	-4.8%	0.5%	18,850	3.9%	2.1%	38	1	-1	100.1%	-0.2%	-0.1%
Los Angeles, CA metro area	August 2018	$628K	0.2%	6.4%	6,956	6.4%	-8.0%	8,451	-0.1%	3.2%	19,192	1.8%	7.8%	40	2	0	100.0%	-0.2%	-0.1%
Los Angeles, CA metro area	September 2018	$615K	-2.0%	4.4%	5,231	-24.8%	-20.7%	7,475	-11.5%	0.7%	19,890	3.6%	13.5%	42	2	0	99.6%	-0.4%	-0.3%
Los Angeles, CA metro area	October 2018	$612K	-0.5%	6.3%	5,880	12.4%	-7.3%	7,680	2.7%	9.6%	20,093	1.0%	20.6%	45	3	2	99.4%	-0.2%	-0.4%
Los Angeles, CA metro area	November 2018	$622K	1.6%	5.8%	5,085	-13.5%	-15.0%	5,894	-23.3%	4.7%	19,066	-5.1%	27.4%	47	2	5	99.1%	-0.2%	-0.8%
Los Angeles, CA metro area	December 2018	$600K	-3.5%	2.6%	4,887	-3.9%	-18.3%	3,486	-40.9%	-3.3%	16,321	-14.4%	33.6%	52	5	6	98.9%	-0.3%	-0.9%
Los Angeles, CA metro area	January 2019	$591K	-1.6%	2.7%	3,830	-21.6%	-14.5%	6,862	96.8%	-2.0%	17,589	7.8%	31.2%	60	8	12	98.5%	-0.4%	-1.0%
Los Angeles, CA metro area	February 2019	$600K	1.6%	0.8%	3,904	1.9%	-10.3%	6,374	-7.1%	-13.8%	18,393	4.6%	25.6%	60	0	18	98.8%	0.3%	-1.1%
Los Angeles, CA metro area	March 2019	$620K	3.3%	3.2%	5,385	37.9%	-15.7%	7,772	21.9%	-3.7%	18,927	2.9%	25.4%	52	-8	15	99.0%	0.2%	-1.3%
Los Angeles, CA metro area	April 2019	$626K	0.9%	2.5%	6,040	12.2%	-0.1%	8,309	6.9%	-4.6%	19,542	3.2%	19.6%	48	-4	12	99.3%	0.3%	-1.2%
Los Angeles, CA metro area	May 2019	$625K	-0.1%	-0.8%	6,625	9.7%	-1.5%	8,828	6.2%	-1.6%	20,099	2.9%	16.4%	46	-2	10	99.5%	0.3%	-0.9%
Los Angeles, CA metro area	June 2019	$635K	1.6%	0.6%	6,331	-4.4%	-10.2%	7,952	-9.9%	-10.4%	20,299	1.0%	11.9%	46	0	9	99.6%	0.1%	-0.7%
Los Angeles, CA metro area	July 2019	$650K	2.4%	3.8%	6,560	3.6%	0.3%	7,999	0.6%	-5.4%	20,124	-0.9%	6.8%	46	0	8	99.4%	-0.2%	-0.7%
Los Angeles, CA metro area	August 2019	$635K	-2.3%	1.2%	6,651	1.4%	-4.4%	7,453	-6.8%	-11.8%	19,258	-4.3%	0.3%	48	2	8	99.4%	0.0%	-0.6%
Los Angeles, CA metro area	September 2019	$640K	0.8%	4.1%	5,800	-12.8%	10.9%	7,209	-3.3%	-3.6%	19,086	-0.9%	-4.0%	49	1	7	99.4%	0.1%	-0.1%
Los Angeles, CA metro area	October 2019	$640K	0.0%	4.6%	6,245	7.7%	6.2%	6,868	-4.7%	-10.6%	18,040	-5.5%	-10.2%	49	0	4	99.4%	-0.1%	0.0%
Los Angeles, CA metro area	November 2019	$639K	-0.2%	2.7%	5,509	-11.8%	8.3%	4,943	-28.0%	-16.1%	16,072	-10.9%	-15.7%	49	0	2	99.5%	0.2%	0.4%
Los Angeles, CA metro area	December 2019	$649K	1.6%	8.2%	5,741	4.2%	17.5%	3,319	-32.9%	-4.8%	12,767	-20.6%	-21.8%	54	5	2	99.3%	-0.3%	0.4%
Los Angeles, CA metro area	January 2020	$635K	-2.2%	7.5%	4,530	-21.1%	18.3%	6,275	89.1%	-8.6%	13,286	4.1%	-24.5%	58	4	-2	99.2%	-0.1%	0.7%
Los Angeles, CA metro area	February 2020	$635K	0.0%	5.8%	4,379	-3.3%	12.2%	6,671	6.3%	4.7%	14,009	5.4%	-23.8%	49	-9	-11	99.6%	0.4%	0.8%
Los Angeles, CA metro area	March 2020	$660K	3.9%	6.5%	5,188	18.5%	-3.7%	6,183	-7.3%	-20.4%	13,959	-0.4%	-26.2%	42	-7	-10	100.2%	0.6%	1.2%
Los Angeles, CA metro area	April 2020	$650K	-1.5%	3.9%	3,836	-26.1%	-36.5%	4,383	-29.1%	-47.2%	13,856	-0.7%	-29.1%	39	-3	-9	100.0%	-0.2%	0.8%
Los Angeles, CA metro area	May 2020	$635K	-2.3%	1.6%	3,157	-17.7%	-52.3%	6,381	45.6%	-27.7%	15,173	9.5%	-24.5%	44	5	-2	99.2%	-0.8%	-0.3%
Los Angeles, CA metro area	June 2020	$655K	3.1%	3.1%	4,617	46.2%	-27.1%	7,270	13.9%	-8.6%	15,795	4.1%	-22.2%	43	-1	-3	99.3%	0.0%	-0.3%
Los Angeles, CA metro area	July 2020	$700K	6.9%	7.7%	6,239	35.1%	-4.9%	8,486	16.7%	6.1%	16,237	2.8%	-19.3%	42	-1	-4	99.9%	0.6%	0.5%
Los Angeles, CA metro area	August 2020	$710K	1.4%	11.8%	6,308	1.1%	-5.2%	8,317	-2.0%	11.6%	16,514	1.7%	-14.2%	40	-2	-8	100.2%	0.3%	0.8%
Los Angeles, CA metro area	September 2020	$730K	2.8%	14.1%	6,710	6.4%	15.7%	8,483	2.0%	17.7%	16,778	1.6%	-12.1%	39	-1	-10	100.7%	0.5%	1.3%
Los Angeles, CA metro area	October 2020	$735K	0.7%	14.8%	6,982	4.1%	11.8%	8,626	1.7%	25.6%	17,035	1.5%	-5.6%	38	-1	-11	101.0%	0.2%	1.6%
Los Angeles, CA metro area	November 2020	$718K	-2.3%	12.4%	6,140	-12.1%	11.5%	6,060	-29.7%	22.6%	15,648	-8.1%	-2.6%	39	1	-10	101.0%	0.0%	1.5%
Los Angeles, CA metro area	December 2020	$730K	1.7%	12.5%	7,163	16.7%	24.8%	4,752	-21.6%	43.2%	12,708	-18.8%	-0.5%	40	1	-14	100.9%	-0.1%	1.6%
Los Angeles, CA metro area	January 2021	$722K	-1.1%	13.7%	5,192	-27.5%	14.6%	6,345	33.5%	1.1%	12,590	-0.9%	-5.2%	43	3	-15	100.8%	-0.1%	1.6%
Los Angeles, CA metro area	February 2021	$745K	3.2%	17.3%	5,039	-2.9%	15.1%	7,020	10.6%	5.2%	12,755	1.3%	-9.0%	41	-2	-8	101.1%	0.3%	1.4%
Los Angeles, CA metro area	March 2021	$775K	4.0%	17.4%	7,125	41.4%	37.3%	8,574	22.1%	38.7%	12,922	1.3%	-7.4%	35	-6	-7	102.0%	1.0%	1.8%
Los Angeles, CA metro area	April 2021	$791K	2.1%	21.7%	7,503	5.3%	95.6%	8,381	-2.3%	91.2%	13,127	1.6%	-5.3%	33	-2	-6	102.9%	0.9%	2.9%
Los Angeles, CA metro area	May 2021	$810K	2.4%	27.6%	7,033	-6.3%	122.8%	8,285	-1.1%	29.8%	13,392	2.0%	-11.7%	32	-1	-12	103.4%	0.5%	4.1%
Los Angeles, CA metro area	June 2021	$828K	2.2%	26.4%	7,712	9.7%	67.0%	8,758	5.7%	20.5%	13,596	1.5%	-13.9%	31	-1	-12	103.7%	0.3%	4.4%
Los Angeles, CA metro area	July 2021	$820K	-1.0%	17.1%	7,337	-4.9%	17.6%	8,954	2.2%	5.5%	14,385	5.8%	-11.4%	32	1	-10	103.5%	-0.2%	3.6%
Los Angeles, CA metro area	August 2021	$825K	0.6%	16.2%	7,036	-4.1%	11.5%	8,035	-10.3%	-3.4%	14,246	-1.0%	-13.7%	32	0	-8	103.2%	-0.3%	3.0%
Los Angeles, CA metro area	September 2021	$820K	-0.6%	12.3%	6,976	-0.9%	4.0%	7,707	-4.1%	-9.1%	13,853	-2.8%	-17.4%	34	2	-5	102.6%	-0.6%	1.9%
Los Angeles, CA metro area	October 2021	$810K	-1.2%	10.2%	6,796	-2.6%	-2.7%	7,235	-6.1%	-16.1%	13,191	-4.8%	-22.6%	35	1	-3	102.5%	0.0%	1.6%
Los Angeles, CA metro area	November 2021	$819K	1.1%	14.1%	6,521	-4.0%	6.2%	5,572	-23.0%	-8.1%	11,435	-13.3%	-26.9%	35	0	-4	102.5%	0.0%	1.5%
Los Angeles, CA metro area	December 2021	$840K	2.6%	15.1%	6,835	4.8%	-4.6%	3,884	-30.3%	-18.3%	8,669	-24.2%	-31.8%	36	1	-4	102.4%	-0.1%	1.5%
Los Angeles, CA metro area	January 2022	$825K	-1.8%	14.3%	4,818	-29.5%	-7.2%	5,909	52.1%	-6.9%	9,091	4.9%	-27.8%	39	3	-4	102.3%	-0.1%	1.5%
Los Angeles, CA metro area	February 2022	$840K	1.8%	12.8%	4,690	-2.7%	-6.9%	6,647	12.5%	-5.3%	9,842	8.3%	-22.8%	32	-7	-9	103.5%	1.2%	2.4%
Los Angeles, CA metro area	March 2022	$875K	4.2%	12.9%	6,599	40.7%	-7.4%	7,885	18.6%	-8.0%	10,399	5.7%	-19.5%	28	-4	-7	104.8%	1.3%	2.8%
Los Angeles, CA metro area	April 2022	$900K	2.9%	13.8%	6,393	-3.1%	-14.8%	7,843	-0.5%	-6.4%	11,366	9.3%	-13.4%	27	-1	-6	105.3%	0.5%	2.4%
Los Angeles, CA metro area	May 2022	$900K	0.0%	11.1%	6,043	-5.5%	-14.1%	8,009	2.1%	-3.3%	12,565	10.5%	-6.2%	27	0	-5	105.0%	-0.3%	1.7%
Los Angeles, CA metro area	June 2022	$895K	-0.6%	8.1%	6,154	1.8%	-20.2%	8,357	4.3%	-4.6%	14,339	14.1%	5.5%	30	3	-1	103.7%	-1.3%	0.0%
Los Angeles, CA metro area	July 2022	$865K	-3.4%	5.5%	4,997	-18.8%	-31.9%	7,201	-13.8%	-19.6%	15,495	8.1%	7.7%	34	4	2	102.0%	-1.8%	-1.6%
Los Angeles, CA metro area	August 2022	$845K	-2.3%	2.4%	5,125	2.6%	-27.2%	6,519	-9.5%	-18.9%	15,370	-0.8%	7.9%	38	4	6	100.4%	-1.5%	-2.8%
Los Angeles, CA metro area	September 2022	$840K	-0.6%	2.4%	4,835	-5.7%	-30.7%	5,799	-11.0%	-24.8%	15,199	-1.1%	9.7%	43	5	9	99.6%	-0.8%	-3.0%
Los Angeles, CA metro area	October 2022	$825K	-1.8%	1.9%	4,161	-13.9%	-38.8%	5,262	-9.3%	-27.3%	14,811	-2.6%	12.3%	44	1	9	99.5%	-0.1%	-3.1%
Los Angeles, CA metro area	November 2022	$810K	-1.8%	-1.1%	3,725	-10.5%	-42.9%	4,004	-23.9%	-28.1%	13,654	-7.8%	19.4%	48	4	13	98.8%	-0.6%	-3.7%
Los Angeles, CA metro area	December 2022	$798K	-1.5%	-5.0%	3,623	-2.7%	-47.0%	2,534	-36.7%	-34.8%	11,208	-17.9%	29.3%	52	4	16	98.5%	-0.4%	-4.0%
Los Angeles, CA metro area	January 2023	$795K	-0.4%	-3.6%	2,847	-21.4%	-40.9%	4,172	64.6%	-29.4%	11,151	-0.5%	22.7%	60	8	21	98.4%	-0.1%	-3.9%
Los Angeles, CA metro area	February 2023	$795K	0.0%	-5.4%	3,075	8.0%	-34.4%	4,233	1.5%	-36.3%	10,890	-2.3%	10.6%	57	-3	25	98.8%	0.4%	-4.7%
Los Angeles, CA metro area	March 2023	$820K	3.1%	-6.3%	4,490	46.0%	-32.0%	5,264	24.4%	-33.2%	10,603	-2.6%	2.0%	44	-13	16	99.7%	0.9%	-5.1%
Los Angeles, CA metro area	April 2023	$829K	1.1%	-7.9%	3,942	-12.2%	-38.3%	5,034	-4.4%	-35.8%	10,569	-0.3%	-7.0%	38	-6	11	100.5%	0.8%	-4.8%
Los Angeles, CA metro area	May 2023	$843K	1.7%	-6.3%	4,697	19.2%	-22.3%	5,798	15.2%	-27.6%	10,844	2.6%	-13.7%	35	-3	8	101.1%	0.6%	-4.0%
Los Angeles, CA metro area	June 2023	$863K	2.4%	-3.6%	4,869	3.7%	-20.9%	5,824	0.4%	-30.3%	11,034	1.8%	-23.0%	34	-1	4	101.4%	0.3%	-2.3%
Los Angeles, CA metro area	July 2023	$862K	-0.1%	-0.3%	4,111	-15.6%	-17.7%	5,412	-7.1%	-24.8%	11,434	3.6%	-26.2%	33	-1	-1	101.7%	0.3%	-0.3%
Los Angeles, CA metro area	August 2023	$870K	0.9%	3.0%	4,658	13.3%	-9.1%	5,429	0.3%	-16.7%	11,447	0.1%	-25.5%	34	1	-4	101.7%	0.0%	1.2%
Los Angeles, CA metro area	September 2023	$870K	0.0%	3.6%	3,903	-16.2%	-19.3%	5,207	-4.1%	-10.2%	11,889	3.9%	-21.8%	37	3	-6	101.0%	-0.6%	1.4%
Los Angeles, CA metro area	October 2023	$880K	1.1%	6.7%	3,929	0.7%	-5.6%	5,341	2.6%	1.5%	12,249	3.0%	-17.3%	38	1	-6	100.7%	-0.3%	1.2%
Los Angeles, CA metro area	November 2023	$875K	-0.6%	8.0%	3,524	-10.3%	-5.4%	4,236	-20.7%	5.8%	11,688	-4.6%	-14.4%	39	1	-9	100.5%	-0.2%	1.6%
Los Angeles, CA metro area	December 2023	$850K	-2.9%	6.5%	3,561	1.0%	-1.7%	2,646	-37.5%	4.4%	9,798	-16.2%	-12.6%	42	3	-10	100.1%	-0.4%	1.6%
Los Angeles, CA metro area	January 2024	$842K	-0.9%	5.9%	3,057	-14.2%	7.4%	4,969	87.8%	19.1%	10,571	7.9%	-5.2%	51	9	-9	99.7%	-0.4%	1.3%
Los Angeles, CA metro area	February 2024	$875K	3.9%	10.1%	3,300	7.9%	7.3%	5,023	1.1%	18.7%	11,049	4.5%	1.5%	43	-8	-14	100.5%	0.8%	1.7%
Los Angeles, CA metro area	March 2024	$875K	0.0%	6.7%	4,071	23.4%	-9.3%	5,484	9.2%	4.2%	11,411	3.3%	7.6%	37	-6	-7	100.9%	0.4%	1.2%
Los Angeles, CA metro area	April 2024	$900K	2.9%	8.6%	4,429	8.8%	12.4%	6,526	19.0%	29.6%	12,596	10.4%	19.2%	35	-2	-3	101.3%	0.4%	0.8%
Los Angeles, CA metro area	May 2024	$905K	0.6%	7.4%	4,737	7.0%	0.9%	6,851	5.0%	18.2%	13,797	9.5%	27.2%	35	0	0	101.3%	0.0%	0.2%
Los Angeles, CA metro area	June 2024	$925K	2.2%	7.2%	4,316	-8.9%	-11.4%	6,387	-6.8%	9.7%	14,783	7.1%	34.0%	36	1	2	101.3%	-0.1%	-0.1%
Los Angeles, CA metro area	July 2024	$920K	-0.5%	6.7%	4,654	7.8%	13.2%	6,464	1.2%	19.4%	15,413	4.3%	34.8%	36	0	3	101.0%	-0.2%	-0.6%
Los Angeles, CA metro area	August 2024	$900K	-2.2%	3.4%	4,634	-0.4%	-0.5%	6,006	-7.1%	10.6%	15,565	1.0%	36.0%	39	3	5	100.4%	-0.6%	-1.3%
Los Angeles, CA metro area	September 2024	$885K	-1.7%	1.7%	4,012	-13.4%	2.8%	6,007	0.0%	15.4%	16,183	4.0%	36.1%	43	4	6	100.2%	-0.2%	-0.8%
Los Angeles, CA metro area	October 2024	$900K	1.7%	2.3%	4,529	12.9%	15.3%	5,884	-2.0%	10.2%	16,086	-0.6%	31.3%	45	2	7	100.2%	0.0%	-0.6%
Los Angeles, CA metro area	November 2024	$899K	-0.1%	2.7%	3,867	-14.6%	9.7%	4,136	-29.7%	-2.4%	14,978	-6.9%	28.1%	47	2	8	100.0%	-0.2%	-0.5%
Los Angeles, CA metro area	December 2024	$905K	0.7%	6.5%	4,121	6.6%	15.7%	3,025	-26.9%	14.3%	12,705	-15.2%	29.7%	51	4	9	99.6%	-0.4%	-0.4%
Los Angeles, CA metro area	January 2025	$885K	-2.2%	5.1%	3,030	-26.5%	-0.9%	6,247	106.5%	25.7%	14,532	14.4%	37.5%	60	9	9	99.4%	-0.2%	-0.3%
Los Angeles, CA metro area	February 2025	$920K	4.0%	5.1%	3,500	15.5%	6.1%	5,933	-5.0%	18.1%	15,360	5.7%	39.0%	54	-6	11	100.0%	0.6%	-0.5%
Los Angeles, CA metro area	March 2025	$925K	0.5%	5.7%	4,072	16.3%	0.0%	7,009	18.1%	27.8%	16,749	9.0%	46.8%	42	-12	5	100.5%	0.5%	-0.4%
Los Angeles, CA metro area	April 2025	$909K	-1.7%	1.0%	4,653	14.3%	5.1%	7,104	1.4%	8.9%	18,062	7.8%	43.4%	41	-1	6	100.4%	-0.2%	-1.0%
Los Angeles, CA metro area	May 2025	$930K	2.3%	2.8%	4,422	-5.0%	-6.6%	7,147	0.6%	4.3%	19,347	7.1%	40.2%	41	0	6	100.3%	-0.1%	-1.0%
Los Angeles, CA metro area	June 2025	$950K	2.2%	2.7%	4,305	-2.6%	-0.3%	6,188	-13.4%	-3.1%	18,967	-2.0%	28.3%	43	2	7	99.8%	-0.5%	-1.5%
Los Angeles, CA metro area	July 2025	$926K	-2.5%	0.7%	4,617	7.2%	-0.8%	6,356	2.7%	-1.7%	19,020	0.3%	23.4%	52	9	16	99.5%	-0.3%	-1.5%
Los Angeles, CA metro area	August 2025	$907K	-2.1%	0.7%	4,257	-7.8%	-8.1%	5,767	-9.3%	-4.0%	18,276	-3.9%	17.4%	53	1	14	99.3%	-0.2%	-1.1%
Los Angeles, CA metro area	September 2025	$915K	0.9%	3.4%	4,495	5.6%	12.0%	5,847	1.4%	-2.7%	17,186	-6.0%	6.2%	55	2	12	99.2%	-0.2%	-1.0%
Philadelphia, PA metro area	January 2012	$134K	-4.4%	-5.7%	974	-24.6%	9.7%	2,105	70.2%	11.8%	11,831	1.9%	-4.5%	134	4	8	92.4%	-0.7%	-1.2%
Philadelphia, PA metro area	February 2012	$135K	0.8%	0.0%	992	1.8%	14.0%	2,419	14.9%	9.7%	12,393	4.8%	-4.0%	138	4	4	92.0%	-0.4%	-1.0%
Philadelphia, PA metro area	March 2012	$138K	2.3%	-3.2%	1,326	33.7%	9.4%	2,938	21.5%	-6.0%	11,685	-5.7%	-14.7%	143	5	-7	93.3%	1.2%	-0.1%
Philadelphia, PA metro area	April 2012	$153K	10.9%	11.3%	1,353	2.0%	5.2%	2,659	-9.5%	-7.7%	11,578	-0.9%	-18.8%	103	-40	-32	94.2%	0.9%	0.8%
Philadelphia, PA metro area	May 2012	$167K	8.8%	8.8%	1,646	21.7%	11.4%	2,582	-2.9%	-0.3%	11,467	-1.0%	-21.1%	85	-18	-34	94.5%	0.3%	0.1%
Philadelphia, PA metro area	June 2012	$175K	5.1%	5.3%	1,669	1.4%	5.7%	2,343	-9.3%	-9.4%	11,172	-2.6%	-22.6%	69	-16	-38	94.8%	0.2%	0.7%
Philadelphia, PA metro area	July 2012	$170K	-2.8%	5.0%	1,562	-6.4%	12.1%	2,294	-2.1%	5.4%	10,971	-1.8%	-22.9%	70	1	-45	94.4%	-0.4%	0.3%
Philadelphia, PA metro area	August 2012	$165K	-3.0%	6.5%	1,658	6.1%	18.6%	2,318	1.0%	13.1%	10,836	-1.2%	-21.3%	81	11	-37	94.4%	0.0%	0.3%
Philadelphia, PA metro area	September 2012	$150K	-9.2%	-0.5%	1,304	-21.4%	3.7%	2,319	0.0%	6.6%	10,998	1.5%	-18.3%	85	4	-49	93.8%	-0.6%	0.0%
Philadelphia, PA metro area	October 2012	$150K	0.1%	11.9%	1,264	-3.1%	15.4%	2,186	-5.7%	4.7%	10,754	-2.2%	-19.2%	77	-8	-57	94.0%	0.2%	1.1%
Philadelphia, PA metro area	November 2012	$150K	0.0%	4.9%	1,430	13.1%	26.5%	1,624	-25.7%	-6.5%	10,196	-5.2%	-21.2%	80	3	-57	93.6%	-0.4%	0.7%
Philadelphia, PA metro area	December 2012	$152K	1.3%	8.6%	1,441	0.8%	11.5%	1,214	-25.2%	-1.9%	9,188	-9.9%	-20.9%	82	2	-48	93.9%	0.3%	0.8%
Philadelphia, PA metro area	January 2013	$138K	-9.3%	2.9%	1,199	-16.8%	23.1%	2,297	89.2%	9.1%	9,279	1.0%	-21.6%	90	8	-44	93.5%	-0.4%	1.1%
Philadelphia, PA metro area	February 2013	$140K	1.5%	3.7%	1,149	-4.2%	15.8%	2,347	2.2%	-3.0%	9,462	2.0%	-23.7%	99	9	-39	93.5%	0.0%	1.4%
Philadelphia, PA metro area	March 2013	$155K	10.8%	12.3%	1,402	22.0%	5.7%	2,899	23.5%	-1.3%	9,767	3.2%	-16.4%	91	-8	-52	94.3%	0.8%	1.0%
Philadelphia, PA metro area	April 2013	$146K	-5.8%	-4.6%	1,645	17.3%	21.6%	3,200	10.4%	20.3%	10,314	5.6%	-10.9%	69	-22	-34	94.8%	0.5%	0.5%
Philadelphia, PA metro area	May 2013	$170K	16.4%	2.1%	1,987	20.8%	20.7%	2,884	-9.9%	11.7%	10,498	1.8%	-8.5%	57	-12	-28	95.2%	0.5%	0.7%
Philadelphia, PA metro area	June 2013	$185K	8.8%	5.7%	2,016	1.5%	20.8%	2,466	-14.5%	5.2%	10,447	-0.5%	-6.5%	57	0	-12	95.6%	0.3%	0.8%
Philadelphia, PA metro area	July 2013	$175K	-5.4%	2.9%	1,869	-7.3%	19.7%	2,625	6.4%	14.4%	10,498	0.5%	-4.3%	58	1	-12	95.2%	-0.4%	0.8%
Philadelphia, PA metro area	August 2013	$170K	-2.9%	3.0%	1,850	-1.0%	11.6%	2,274	-13.4%	-1.9%	10,281	-2.1%	-5.1%	62	4	-19	95.1%	0.0%	0.8%
Philadelphia, PA metro area	September 2013	$156K	-8.2%	4.1%	1,581	-14.5%	21.2%	2,511	10.4%	8.3%	10,512	2.2%	-4.4%	67	5	-18	94.9%	-0.2%	1.2%
Philadelphia, PA metro area	October 2013	$150K	-3.8%	0.0%	1,534	-3.0%	21.4%	2,394	-4.7%	9.5%	10,302	-2.0%	-4.2%	70	3	-7	94.4%	-0.5%	0.5%
Philadelphia, PA metro area	November 2013	$152K	1.3%	1.3%	1,368	-10.8%	-4.3%	1,777	-25.8%	9.4%	9,839	-4.5%	-3.5%	71	1	-9	94.3%	-0.1%	0.7%
Philadelphia, PA metro area	December 2013	$151K	-1.0%	-1.0%	1,512	10.5%	4.9%	1,257	-29.3%	3.5%	8,841	-10.1%	-3.8%	77	6	-5	94.3%	0.0%	0.4%
Philadelphia, PA metro area	January 2014	$148K	-2.0%	7.0%	1,154	-23.7%	-3.8%	1,962	56.1%	-14.6%	8,767	-0.8%	-5.5%	76	-1	-14	93.9%	-0.4%	0.4%
Philadelphia, PA metro area	February 2014	$144K	-2.5%	2.8%	980	-15.1%	-14.7%	1,969	0.4%	-16.1%	8,827	0.7%	-6.7%	90	14	-9	93.9%	-0.1%	0.4%
Philadelphia, PA metro area	March 2014	$149K	4.0%	-3.5%	1,318	34.5%	-6.0%	3,016	53.2%	4.0%	9,428	6.8%	-3.5%	91	1	0	94.2%	0.4%	0.0%
Philadelphia, PA metro area	April 2014	$150K	0.3%	2.7%	1,524	15.6%	-7.4%	3,491	15.7%	9.1%	9,882	4.8%	-4.2%	74	-17	5	94.6%	0.4%	-0.2%
Philadelphia, PA metro area	May 2014	$165K	10.1%	-2.9%	1,829	20.0%	-8.0%	3,200	-8.3%	11.0%	10,187	3.1%	-3.0%	50	-24	-7	95.3%	0.7%	0.0%
Philadelphia, PA metro area	June 2014	$175K	6.1%	-5.4%	2,070	13.2%	2.7%	2,871	-10.3%	16.4%	10,722	5.3%	2.6%	44	-6	-13	95.6%	0.4%	0.1%
Philadelphia, PA metro area	July 2014	$170K	-2.9%	-2.9%	1,927	-6.9%	3.1%	2,676	-6.8%	1.9%	11,152	4.0%	6.2%	45	1	-13	95.3%	-0.3%	0.2%
Philadelphia, PA metro area	August 2014	$171K	0.7%	0.7%	1,828	-5.1%	-1.2%	2,369	-11.5%	4.2%	11,020	-1.2%	7.2%	53	8	-9	95.3%	-0.1%	0.1%
Philadelphia, PA metro area	September 2014	$150K	-12.3%	-3.8%	1,636	-10.5%	3.5%	2,728	15.2%	8.6%	11,225	1.9%	6.8%	65	12	-2	94.7%	-0.5%	-0.2%
Philadelphia, PA metro area	October 2014	$150K	0.0%	0.0%	1,705	4.2%	11.1%	2,568	-5.9%	7.3%	11,007	-1.9%	6.8%	72	7	2	94.7%	0.0%	0.3%
Philadelphia, PA metro area	November 2014	$152K	1.2%	-0.2%	1,447	-15.1%	5.8%	1,777	-30.8%	0.0%	10,373	-5.8%	5.4%	70	-2	-1	94.7%	0.0%	0.4%
